2004-01-01 00:00:00;0
2004-02-01 00:00:00;88
2004-03-01 00:00:00;0
2004-04-01 00:00:00;49
2004-05-01 00:00:00;0
2004-06-01 00:00:00;0
2004-07-01 00:00:00;0
2004-08-01 00:00:00;57
2004-09-01 00:00:00;0
2004-10-01 00:00:00;0
2004-11-01 00:00:00;91
2004-12-01 00:00:00;64
2005-01-01 00:00:00;0
2005-02-01 00:00:00;98
2005-03-01 00:00:00;100
2005-04-01 00:00:00;0
2005-05-01 00:00:00;0
2005-06-01 00:00:00;0
2005-07-01 00:00:00;0
2005-08-01 00:00:00;51
2005-09-01 00:00:00;47
2005-10-01 00:00:00;58
2005-11-01 00:00:00;75
2005-12-01 00:00:00;0
2006-01-01 00:00:00;0
2006-02-01 00:00:00;0
2006-03-01 00:00:00;36
2006-04-01 00:00:00;0
2006-05-01 00:00:00;39
2006-06-01 00:00:00;37
2006-07-01 00:00:00;0
2006-08-01 00:00:00;0
2006-09-01 00:00:00;0
2006-10-01 00:00:00;0
2006-11-01 00:00:00;22
2006-12-01 00:00:00;35
2007-01-01 00:00:00;23
2007-02-01 00:00:00;43
2007-03-01 00:00:00;14
2007-04-01 00:00:00;0
2007-05-01 00:00:00;25
2007-06-01 00:00:00;44
2007-07-01 00:00:00;0
2007-08-01 00:00:00;9
2007-09-01 00:00:00;20
2007-10-01 00:00:00;26
2007-11-01 00:00:00;45
2007-12-01 00:00:00;13
2008-01-01 00:00:00;22
2008-02-01 00:00:00;52
2008-03-01 00:00:00;46
2008-04-01 00:00:00;33
2008-05-01 00:00:00;31
2008-06-01 00:00:00;14
2008-07-01 00:00:00;0
2008-08-01 00:00:00;25
2008-09-01 00:00:00;42
2008-10-01 00:00:00;33
2008-11-01 00:00:00;32
2008-12-01 00:00:00;45
2009-01-01 00:00:00;61
2009-02-01 00:00:00;40
2009-03-01 00:00:00;56
2009-04-01 00:00:00;36
2009-05-01 00:00:00;43
2009-06-01 00:00:00;39
2009-07-01 00:00:00;50
2009-08-01 00:00:00;37
2009-09-01 00:00:00;17
2009-10-01 00:00:00;30
2009-11-01 00:00:00;47
2009-12-01 00:00:00;21
2010-01-01 00:00:00;49
2010-02-01 00:00:00;34
2010-03-01 00:00:00;43
2010-04-01 00:00:00;54
2010-05-01 00:00:00;21
2010-06-01 00:00:00;53
2010-07-01 00:00:00;24
2010-08-01 00:00:00;37
2010-09-01 00:00:00;32
2010-10-01 00:00:00;46
2010-11-01 00:00:00;39
2010-12-01 00:00:00;40
2011-01-01 00:00:00;20
2011-02-01 00:00:00;36
2011-03-01 00:00:00;31
2011-04-01 00:00:00;42
2011-05-01 00:00:00;31
2011-06-01 00:00:00;31
2011-07-01 00:00:00;26
2011-08-01 00:00:00;29
2011-09-01 00:00:00;33
2011-10-01 00:00:00;39
2011-11-01 00:00:00;36
2011-12-01 00:00:00;28
2012-01-01 00:00:00;33
2012-02-01 00:00:00;40
2012-03-01 00:00:00;36
2012-04-01 00:00:00;41
2012-05-01 00:00:00;30
2012-06-01 00:00:00;35
2012-07-01 00:00:00;26
2012-08-01 00:00:00;27
2012-09-01 00:00:00;34
2012-10-01 00:00:00;37
2012-11-01 00:00:00;37
2012-12-01 00:00:00;34
2013-01-01 00:00:00;24
2013-02-01 00:00:00;29
2013-03-01 00:00:00;31
2013-04-01 00:00:00;36
2013-05-01 00:00:00;36
2013-06-01 00:00:00;34
2013-07-01 00:00:00;34
2013-08-01 00:00:00;22
2013-09-01 00:00:00;26
2013-10-01 00:00:00;42
2013-11-01 00:00:00;46
2013-12-01 00:00:00;32
2014-01-01 00:00:00;46
2014-02-01 00:00:00;26
2014-03-01 00:00:00;36
2014-04-01 00:00:00;40
2014-05-01 00:00:00;46
2014-06-01 00:00:00;41
2014-07-01 00:00:00;27
2014-08-01 00:00:00;36
2014-09-01 00:00:00;91
2014-10-01 00:00:00;92
2014-11-01 00:00:00;57
2014-12-01 00:00:00;55
2015-01-01 00:00:00;70
2015-02-01 00:00:00;53
2015-03-01 00:00:00;45
2015-04-01 00:00:00;61
2015-05-01 00:00:00;51
2015-06-01 00:00:00;55
2015-07-01 00:00:00;59
2015-08-01 00:00:00;46
2015-09-01 00:00:00;38
2015-10-01 00:00:00;47
2015-11-01 00:00:00;53
2015-12-01 00:00:00;42
2016-01-01 00:00:00;43
